Жанр,Кол-во фильмов,Фильм с максимальным rating,Фильм с максимальным members
Drama,2015,Fullmetal Alchemist: Brotherhood,Shingeki no Kyojin
Romance,1463,Clannad: After Story,Sword Art Online
School,1219,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,Angel Beats!
Supernatural,1036,Clannad: After Story,Death Note
Action,2844,Gintama°,Shingeki no Kyojin
Adventure,2347,Spoon-hime no Swing Kitchen,Sword Art Online
Fantasy,2308,Clannad: After Story,Shingeki no Kyojin
Magic,777,Black Clover,Fullmetal Alchemist
Military,425,Ginga Eiyuu Densetsu,Code Geass: Hangyaku no Lelouch
Shounen,1711,Gintama°,Shingeki no Kyojin
Comedy,4645,Taka no Tsume 8: Yoshida-kun no X-Files,Angel Beats!
Historical,805,Kahei no Umi,Kuroshitsuji
Parody,407,Taka no Tsume 8: Yoshida-kun no X-Files,One Punch Man
Samurai,147,Gintama&#039;,Samurai Champloo
Sci-Fi,2069,Steins;Gate,Code Geass: Hangyaku no Lelouch
Thriller,86,Fate/Zero 2nd Season,Death Note
Sports,543,Haikyuu!! Second Season,Kuroko no Basket
Super Power,464,Code Geass: Hangyaku no Lelouch R2,Shingeki no Kyojin
Space,380,Cowboy Bebop,Cowboy Bebop
Slice of Life,1219,Mogura no Motoro,Toradora!
Mecha,943,Code Geass: Hangyaku no Lelouch,Code Geass: Hangyaku no Lelouch
Music,859,Nana,K-On!
Mystery,494,Suzumiya Haruhi no Shoushitsu,Death Note
Seinen,546,One Punch Man,Elfen Lied
Martial Arts,264,Katanagatari,Naruto
Vampire,101,Kizumonogatari II: Nekketsu-hen,Bakemonogatari
Shoujo,602,Natsume Yuujinchou Shi,Ouran Koukou Host Club
Horror,368,Hellsing Ultimate,Elfen Lied
Police,196,Death Note,Death Note
Psychological,228,Death Note,Death Note
Demons,293,Jidou Bungaku Library,Ao no Exorcist
Ecchi,636,Shokugeki no Souma: Ni no Sara,No Game No Life
Josei,53,Usagi Drop,Usagi Drop
Shounen Ai,64,Sekaiichi Hatsukoi 2,Junjou Romantica
Game,180,No Game No Life,Sword Art Online
Dementia,239,Neon Genesis Evangelion,Neon Genesis Evangelion
Harem,316,Kami nomi zo Shiru Sekai: Megami-hen,High School DxD
Cars,71,Initial D Final Stage,Initial D First Stage
Kids,1608,Spoon-hime no Swing Kitchen,Pokemon
Shoujo Ai,54,Maria-sama ga Miteru 3rd,Yuru Yuri
,61,Happy Bogeys,ViVid Strike!
Hentai,1140,Chou Do M na Hentai Mesu-tachi Otokoton Choukyou Itashimasu!,Boku no Pico
Yaoi,38,Koisuru Boukun,Boku no Pico
Yuri,41,Futabu!!,Aki-Sora: Yume no Naka
