Год,Золото,Серебро,Бронза
1896,64,47,40
1900,178,192,142
1904,188,159,123
1908,311,282,211
1912,301,300,284
1920,497,446,355
1924,301,298,285
1928,229,239,242
1932,213,206,196
1936,299,294,282
1948,276,270,268
1952,300,290,299
1956,298,290,297
1960,295,286,301
1964,330,337,343
1968,341,339,351
1972,387,386,412
1976,429,429,447
1980,460,455,472
1984,483,476,500
1988,506,505,535
1992,558,551,596
1996,615,610,634
2000,663,667,685
2004,659,660,679
2008,669,663,710
2012,636,633,680
Страна,Мужчины,Женщины,Золото,Серебро,Бронза
HUN,834,245,412,316,351
AUT,125,21,21,81,44
GRE,109,39,34,62,52
USA,3208,1377,2235,1252,1098
GER,916,389,452,378,475
GBR,1412,308,546,621,553
FRA,1254,142,408,491,497
AUS,696,493,312,405,472
DEN,416,91,150,197,160
SUI,353,27,75,167,138
ZZX,45,3,23,15,10
NED,495,356,233,279,339
BEL,391,20,91,168,152
IND,181,3,128,18,38
CAN,428,221,155,232,262
BOH,6,1,,1,6
SWE,953,91,349,367,328
NOR,432,122,209,200,145
ESP,332,110,98,227,117
ITA,1161,135,476,416,404
CUB,310,100,165,129,116
ANZ,27,2,20,4,5
RSA,84,22,30,39,37
FIN,443,13,124,120,212
RU1,17,1,7,9
EST,38,1,9,10,20
TCH,249,80,80,144,105
NZL,159,31,85,30,75
BRA,303,128,73,173,185
JPN,525,263,213,272,303
LUX,2,1,1,
ARG,187,72,69,99,91
POL,411,100,106,174,231
POR,28,5,4,11,18
URU,76,44,2,30
YUG,373,62,143,174,118
ROU,305,335,157,195,288
HAI,8,,1,7
EGY,27,1,7,10,11
PHI,9,,2,7
IRL,24,6,9,9,12
CHI,32,1,3,9,21
LAT,19,1,3,11,6
MEX,89,17,32,23,51
TUR,77,9,38,25,23
PAN,3,1,,2
JAM,58,69,31,49,47
SRI,1,1,,2,
KOR,288,241,158,204,167
PUR,8,,2,6
PER,3,12,1,14,
IRI,61,16,21,24
TRI,20,1,8,11
URS,1476,573,838,627,584
VEN,10,2,2,2,8
BUL,215,118,53,143,137
LIB,4,,2,2
EUA,55,205,68,100,92
ISL,16,1,,15,2
PAK,121,42,45,34
BAH,14,13,13,9,5
BWI,5,,,5
TPE,30,14,3,27,14
ETH,27,18,21,8,16
MAR,18,4,6,5,11
GHA,16,,1,15
IRQ,1,,,1
SIN,1,3,,4,
TUN,9,1,4,2,4
KEN,80,13,28,35,30
NGR,66,18,19,38,27
GDR,456,369,329,271,225
FRG,375,115,143,167,180
UGA,7,2,3,2
CMR,20,3,20,1,2
MGL,21,3,2,9,13
PRK,30,28,14,12,32
COL,10,9,2,6,11
NIG,1,,,1
THA,14,11,7,6,12
BER,1,,,1
TAN,2,,2,
GUY,1,,,1
ZIM,23,18,4,1
CHN,270,537,290,296,221
CIV,1,,1,
ZAM,2,,1,1
DOM,6,3,2,1
ALG,12,3,5,2,8
SYR,2,1,1,1,1
SUR,2,1,,1
CRC,4,1,1,2
INA,14,24,9,16,13
SEN,1,,1,
DJI,1,,,1
AHO,1,,1,
ISV,1,,1,
EUN,94,129,92,65,66
NAM,4,,4,
QAT,4,,,4
LTU,47,8,6,5,44
MAS,7,1,,4,4
CRO,108,6,46,34,34
ISR,1,6,1,1,5
SLO,20,6,5,7,14
IOP,2,1,,1,2
RUS,409,359,239,238,291
UKR,89,84,41,42,90
ECU,2,1,1,
BDI,1,1,,
MOZ,2,1,,1
CZE,38,18,14,22,20
BLR,51,62,17,37,59
TGA,1,,1,
KAZ,40,9,12,17,20
UZB,19,1,5,5,10
SVK,27,7,10,12,12
MDA,6,,3,3
GEO,24,1,6,5,14
HKG,2,2,1,2,1
ARM,11,1,2,8
AZE,20,6,6,5,15
BAR,1,,,1
KSA,6,,1,5
KGZ,3,,1,2
KUW,2,,,2
VIE,1,1,,2,
MKD,1,,,1
SCG,13,1,,14,
ERI,1,,,1
PAR,17,,17,
UAE,1,1,,
SRB,29,2,1,2,28
SUD,1,,1,
MRI,1,,,1
TOG,1,,,1
TJK,2,1,,1,2
AFG,2,,,2
,2,2,2,2,
BRN,1,,,1
GUA,1,,1,
GRN,1,1,,
TTO,10,1,4,5
BOT,1,,1,
MNE,14,,14,
CYP,1,,1,
SGP,4,,,4
GAB,1,,1,
Swimming,USA
Athletics,USA
Cycling Road,ITA
Cycling Track,GBR
Fencing,ITA
Artistic G.,URS
Shooting,USA
Tennis,GBR
Weightlifting,URS
Wrestling Gre-R,URS
Water polo,HUN
Archery,KOR
Basque Pelota,ESP
Cricket,GBR
Croquet,FRA
Jumping,USA
Football,USA
Golf,USA
Polo,GBR
Rowing,USA
Rugby,FRA
Sailing,USA
Tug of War,GBR
Diving,USA
Boxing,USA
Lacrosse,CAN
Roque,USA
Wrestling Free.,USA
Hockey,NED
Jeu de Paume,GBR
Rackets,GBR
Figure skating,GBR
Water Motorspor,GBR
Dressage,GER
Eventing,USA
Modern Pentath.,HUN
Vaulting,BEL
Ice Hockey,USA
Basketball,USA
Canoe / Kayak F,HUN
Handball,KOR
Judo,JPN
Volleyball,URS
Canoe / Kayak S,FRA
Synchronized S.,JPN
Rhythmic G.,RUS
Table Tennis,CHN
Badminton,CHN
Baseball,CUB
Mountain Bike,FRA
Softball,AUS
Beach volley.,BRA
Trampoline,CHN
Taekwondo,KOR
Triathlon,AUS
BMX,USA
Marathon swimming,TUN
Synchronized Swimming,RUS
Water Polo,CRO
Canoe Slalom,GBR
Canoe Sprint,HUN
Cycling BMX,COL
Gymnastics Artistic,CHN
Gymnastics Rhythmic,RUS
Modern Pentathlon,CZE
Beach Volleyball,BRA
Wrestling Freestyle,RUS
